Inheritor,Type,Asaba_Rank,descendant,blocked_by,Ignore,Asaba
son,A,1,M,,0,"['daughter','daughter_x2']"
son_of_son,A,2,M,,0,"['daughter_of_son', 'daughter_of_son_x2']"
father,FA,3,,,0,[]
father_of_father,FA,4,,,1,[]
brother,A,5,,,0,"['sister', 'sister_x2']"
paternal_halfbrother,A,6,,,0,"['paternal_halfsister', 'paternal_halfsister_x2']"
maternal_halfbrother,F,,,,0,[]
nephew_brother,A,7,,,0,[]
nephew_paternal_halfbrother,A,8,,,0,[]
fathers_brother,A,9,,,0,[]
fathers_paternal_halfbrother,A,10,,,0,[]
son_of_fathers_brother,A,11,,,0,[]
son_of_fathers_paternal_halfbrother,A,12,,,0,[]
husband,F,,,,0,[]
atiq,A,13,,,0,[]
daughter,FA,,F,,0,[]
daughter_x2,FA,,F,,0,[]
daughter_of_son,FA,,F,,0,[]
daughter_of_son_x2,FA,,F,,0,[]
mother,F,,,,0,[]
grandmother_father,F,,,,0,[]
grandmother_mother,F,,,,0,[]
sister,FA,,,,0,[]
sister_x2,FA,,,,0,[]
paternal_halfsister,FA,,,,0,[]
paternal_halfsister_x2,FA,,,,0,[]
maternal_halfsister,F,,,,0,[]
maternal_halfsister_x2,F,,,,0,[]
wife,F,,,,0,[]
mutiqa,A,13,,,0,[]
