Case,Asaba_Rad,Full_Case
"{'son': 'A', 'son_of_son': '0', 'father': '1/6'}","{'son': '5/6', 'son_of_son': '0', 'father': '1/6'}",,"{'son': 5.0, 'son_of_son': 0, 'father': 1.0, 'total_shares': 6.0}"
"{'son': 'A', 'son_of_son': '0', 'father_of_father': '1/6'}","{'son': '5/6', 'son_of_son': '0', 'father_of_father': '1/6'}",,"{'son': 5.0, 'son_of_son': 0, 'father_of_father': 1.0, 'total_shares': 6.0}"
"{'son': 'A', 'son_of_son': '0', 'brother': '0'}","{'son': '1', 'son_of_son': '0', 'brother': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'brother': 0, 'total_shares': 1.0}"
"{'son': 'A', 'son_of_son': '0', 'paternal_halfbrother': '0'}","{'son': '1', 'son_of_son': '0', 'paternal_halfbrother': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'paternal_halfbrother': 0, 'total_shares': 1.0}"
"{'son': 'A', 'son_of_son': '0', 'maternal_halfbrother': '0'}","{'son': '1', 'son_of_son': '0', 'maternal_halfbrother': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'maternal_halfbrother': 0, 'total_shares': 1.0}"
"{'son': 'A', 'son_of_son': '0', 'nephew_brother': '0'}","{'son': '1', 'son_of_son': '0', 'nephew_brother': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'nephew_brother': 0, 'total_shares': 1.0}"
"{'son': 'A', 'son_of_son': '0', 'nephew_paternal_halfbrother': '0'}","{'son': '1', 'son_of_son': '0', 'nephew_paternal_halfbrother': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'nephew_paternal_halfbrother': 0, 'total_shares': 1.0}"
"{'son': 'A', 'son_of_son': '0', 'fathers_brother': '0'}","{'son': '1', 'son_of_son': '0', 'fathers_brother': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'fathers_brother': 0, 'total_shares': 1.0}"
"{'son': 'A', 'son_of_son': '0', 'fathers_paternal_halfbrother': '0'}","{'son': '1', 'son_of_son': '0', 'fathers_paternal_halfbrother': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'fathers_paternal_halfbrother': 0, 'total_shares': 1.0}"
"{'son': 'A', 'son_of_son': '0', 'son_of_fathers_brother': '0'}","{'son': '1', 'son_of_son': '0', 'son_of_fathers_brother': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'son_of_fathers_brother': 0, 'total_shares': 1.0}"
"{'son': 'A', 'son_of_son': '0', 'son_of_fathers_paternal_halfbrother': '0'}","{'son': '1', 'son_of_son': '0', 'son_of_fathers_paternal_halfbrother': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'son_of_fathers_paternal_halfbrother': 0, 'total_shares': 1.0}"
"{'son': 'A', 'son_of_son': '0', 'husband': '1/4'}","{'son': '3/4', 'son_of_son': '0', 'husband': '1/4'}",,"{'son': 3.0, 'son_of_son': 0, 'husband': 1.0, 'total_shares': 4.0}"
"{'son': 'A', 'son_of_son': '0', 'atiq': '0'}","{'son': '1', 'son_of_son': '0', 'atiq': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'atiq': 0, 'total_shares': 1.0}"
"{'son': 'A', 'son_of_son': '0', 'daughter': 'A'}","{'son': '2/3', 'son_of_son': '0', 'daughter': '1/3'}",,"{'son': 2.0, 'son_of_son': 0, 'daughter': 1.0, 'total_shares': 3.0}"
"{'son': 'A', 'son_of_son': '0', 'daughter_x2': 'A'}","{'son': '1/2', 'son_of_son': '0', 'daughter_x2': '1/2'}",,"{'son': 2.0, 'son_of_son': 0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'total_shares': 4.0}"
"{'son': 'A', 'son_of_son': '0', 'daughter_of_son': '0'}","{'son': '1', 'son_of_son': '0', 'daughter_of_son': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'daughter_of_son': 0, 'total_shares': 1.0}"
"{'son': 'A', 'son_of_son': '0', 'daughter_of_son_x2': '0'}","{'son': '1', 'son_of_son': '0', 'daughter_of_son_x2': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'son_of_son': '0', 'mother': '1/6'}","{'son': '5/6', 'son_of_son': '0', 'mother': '1/6'}",,"{'son': 5.0, 'son_of_son': 0, 'mother': 1.0, 'total_shares': 6.0}"
